Name,School,ERA,W,L,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,KL,2B,3B,HR,AB,BAA,WP,HBP,BK,
"Ingebritson, Gordon",UC Irvine,1.76,6,0,0,0,0,4,66.66,50,15,13,5,62,20,7,3,3,242,0.207,0,4,0,
"Chester, Fynn",Cal State Fullerton,2.3,3,1,6,1,1,0,62.66,59,20,16,12,32,12,14,2,2,236,0.25,2,1,0,
"Thorpe, Drew",Cal Poly,2.32,10,1,15,1,1,0,104.66,65,31,27,25,149,26,19,1,5,371,0.175,6,2,0,
"Braun, Lucas",CSUN ,2.91,7,4,10,1,0,0,74.33,62,25,24,17,77,19,9,1,9,274,0.226,6,6,1,
BlazeKoali'iPontes,Hawaii,2.94,5,1,7,0,0,1,70.33,68,29,23,26,88,12,9,3,5,274,0.248,3,5,0,
"Traxel, Blaine",CSUN ,3,7,4,14,2,1,1,105,112,41,35,23,86,27,18,5,9,400,0.28,2,11,0,
"Gutierrez, Michael",UC Santa Barbara,3.19,10,1,15,0,0,0,87.33,80,38,31,38,86,24,17,0,4,313,0.256,8,8,3,
"Pinto, Nick",UC Irvine,3.23,2,6,15,0,0,0,86.33,87,42,31,31,82,31,11,3,4,329,0.264,4,8,0,
"Gallagher, Ryan",UC Santa Barbara,3.25,8,0,15,0,0,0,83,90,37,30,28,67,14,23,2,5,326,0.276,6,3,0,
"Noble, Jack",Long  Beach  St.,3.36,6,4,10,0,0,0,64.33,60,27,24,20,61,19,15,0,8,246,0.244,2,6,0,
"Stultz, Tyler",Cal State Fullerton,3.36,5,5,14,0,0,0,88.33,84,39,33,24,86,30,18,3,4,342,0.246,2,10,0,
"Lewis, Cory",UC Santa Barbara,3.57,9,1,16,0,0,0,88.33,61,40,35,42,107,24,11,3,8,327,0.187,7,1,0,
"Watts-Brown,  Juaron",Long  Beach  St.,3.68,4,4,12,1,1,0,73.33,50,33,30,29,111,29,7,1,7,258,0.194,7,3,1,
"O'Connor, Kellen",CSU Bakersfield,3.79,4,4,11,1,1,0,54.66,65,30,23,14,56,15,10,0,6,217,0.3,2,4,1,
"Weston, Travis",Cal Poly,3.91,7,3,15,2,2,0,94.33,106,44,41,15,76,17,19,1,12,383,0.277,3,5,0,
"Caggianelli, Benji",CSU Bakersfield,4.53,2,3,12,0,0,0,53.66,37,42,27,39,71,14,5,0,8,195,0.19,12,11,1,
CadeHalemanu,Hawaii,4.69,4,5,15,0,0,0,71,76,50,37,41,71,22,14,1,4,280,0.271,6,4,1,
"Acosta, Jaykob",CSU Bakersfield,4.73,3,7,9,0,0,0,72.33,75,49,38,32,46,7,14,1,2,274,0.274,6,18,0,
AndyArcher,Hawaii,5.04,2,5,12,0,0,1,60.66,73,42,34,18,47,7,15,2,3,251,0.291,0,3,1,
"Frias, Michael",UC Irvine,5.19,5,2,11,0,0,0,59,62,36,34,21,60,24,15,1,10,225,0.276,3,3,0,
JeremiahPriddy,UC Riverside,5.23,0,3,9,0,0,0,53.33,62,42,31,26,42,9,21,0,5,214,0.29,11,8,0,
"Green, Bryan",UC Davis,5.45,2,6,6,0,0,0,71,78,51,43,28,52,14,14,0,9,278,0.281,3,10,0,
"SantaCruz, Adrian",CSU Bakersfield,5.52,1,4,12,0,0,0,58.66,88,46,36,16,46,12,21,2,6,249,0.353,3,9,0,
"Sodersten, Blake",CSUN ,5.67,5,6,11,0,0,1,81,103,58,51,28,75,21,22,2,10,341,0.302,6,7,0,
"Riccomini, Kaden",UC Davis,5.93,2,5,4,0,0,0,57.66,75,44,38,18,34,7,13,1,6,228,0.329,5,4,0,
"Conlon, Noah",UC SanDiego,6.35,4,9,14,0,0,0,66.66,75,52,47,43,64,10,15,1,4,268,0.28,18,8,0,
"Freeman, Nate",UC Davis,6.41,1,1,5,0,0,0,71.66,84,55,51,34,43,11,20,4,5,285,0.295,11,18,0,
"Juline, Tuck",UC Riverside,7.49,2,7,9,0,0,0,57.66,76,54,48,25,29,5,15,6,8,236,0.322,4,6,0,
TylerFrazier,UC Riverside,7.93,0,8,13,0,0,0,53.33,73,53,47,37,34,11,13,1,3,217,0.336,10,13,1,
EricMarrujo,UC Riverside,8.52,2,7,10,1,0,0,56,74,54,53,28,30,13,22,3,7,228,0.325,2,13,0,
