Player,School,AVG,OPS,G,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG,BB,HBP,SO,GIDP,OBP,SF,SH,SB,SBA,
"Schell, Austin",Cal State Fullerton,0.382,1.011,43,34,131,16,50,14,0,3,26,73,0.557,15,4,18,3,0.454,2,2,1,1,
"Lee, Brooks",Cal Poly,0.357,1.126,58,58,235,56,84,25,1,15,55,156,0.664,46,2,28,5,0.462,3,0,3,4,
"Yorke, Joe",Cal Poly,0.353,0.904,58,58,224,36,79,13,0,4,51,104,0.464,35,3,32,5,0.44,4,3,0,0,
"Wolbert, Mark",UC Davis,0.351,0.925,41,39,151,27,53,10,3,2,15,75,0.497,21,0,49,1,0.428,1,0,3,5,
"Carlson, Tanner",Long Beach St.,0.345,0.863,39,32,116,21,40,6,1,2,20,54,0.466,10,0,14,1,0.397,0,5,0,1,
"West, Bart",CSUN,0.338,0.891,53,46,195,31,66,11,1,8,39,103,0.528,7,1,39,2,0.363,1,1,7,9,
"Newman Jr, John",UC Santa Barbara,0.337,1.01,39,27,101,24,34,6,2,3,21,53,0.525,18,11,22,1,0.485,0,1,8,10,
"Sojka, Andrew",CSUN,0.335,0.908,54,54,209,46,70,18,1,4,25,102,0.488,30,2,36,1,0.42,2,6,9,12,
"Lyon, Jackson",Cal State Fullerton,0.328,0.918,50,47,189,36,62,11,2,7,29,98,0.519,21,2,34,4,0.399,1,1,2,5,
"Kendle, Caden",UC Irvine,0.328,0.998,46,33,122,26,40,5,1,6,16,65,0.533,19,13,21,1,0.465,1,2,5,7,
"Connor, Caden",Cal State Fullerton,0.327,0.874,55,55,226,42,74,14,2,4,37,104,0.46,33,1,28,5,0.414,1,0,2,2,
"Peppi, Rocco",Long Beach St.,0.321,0.851,54,54,212,36,68,11,0,5,30,94,0.443,13,19,37,2,0.408,1,0,2,4,
"Stafford, Ryan",Cal Poly,0.321,0.815,58,58,246,50,79,16,1,3,33,106,0.431,25,4,34,1,0.384,6,0,3,4,
"Lew, Zach",Cal State Fullerton,0.317,0.804,54,52,199,36,63,9,0,1,29,75,0.377,34,5,28,7,0.427,1,2,0,2,
"Luttrell, Chase",Long Beach St.,0.312,0.885,54,54,221,33,69,17,1,9,46,115,0.52,14,5,39,1,0.365,1,1,2,5,
"Gonzalez, Emiliano",UC San Diego,0.312,0.818,50,45,157,19,49,13,0,1,18,65,0.414,23,2,30,9,0.404,1,0,0,2,
"Vogt, Nick",UC Santa Barbara,0.312,0.938,52,52,205,50,64,15,5,7,49,110,0.537,22,11,39,1,0.401,4,0,10,14,
"Long, Jonathon",Long Beach St.,0.311,0.865,50,50,183,33,57,8,0,6,37,83,0.454,25,6,48,3,0.411,0,4,2,4,
"Marinconz, Nick",Cal Poly,0.309,0.779,51,45,178,34,55,10,0,1,16,68,0.382,22,6,33,2,0.397,3,3,1,4,
"Church, Nathan",UC Irvine,0.309,0.825,53,53,217,46,67,9,2,5,38,95,0.438,27,4,35,6,0.387,5,0,6,11,
"Lopez, Matt",Cal Poly,0.307,0.837,48,35,140,24,43,10,0,4,28,65,0.464,12,4,29,6,0.373,2,1,0,0,
"Smith, Jalen",UC San Diego,0.305,0.921,54,53,203,32,62,16,3,7,34,105,0.517,30,5,42,6,0.404,2,1,7,10,
Kyson Donahue,Hawaii,0.304,0.957,38,35,125,26,38,10,0,6,21,66,0.528,24,4,52,1,0.429,1,3,2,3,
"Kirtley, Christian",UC Santa Barbara,0.304,0.942,57,57,214,41,65,11,2,11,45,113,0.528,34,9,48,3,0.414,4,1,7,10,
"Willits, Bryce",UC Santa Barbara,0.302,0.927,47,43,172,40,52,18,2,5,33,89,0.517,30,2,43,4,0.41,1,3,5,5,
"Brandow, Jason",Cal State Fullerton,0.301,0.873,44,37,146,31,44,3,1,7,23,70,0.479,19,4,36,1,0.394,1,0,4,6,
"Bell, James",CSU Bakersfield,0.3,0.862,47,47,180,32,54,13,1,6,34,87,0.483,24,0,45,7,0.379,2,0,2,3,
Matt Wong,Hawaii,0.298,0.801,52,51,198,33,59,12,0,5,41,86,0.434,17,7,56,1,0.367,4,0,1,2,
Jordan Donahue,Hawaii,0.298,0.737,49,47,161,31,48,7,1,0,20,57,0.354,18,6,37,0,0.383,3,5,9,12,
"Williams III, James",UC Davis,0.295,0.842,35,29,112,13,33,8,1,2,16,49,0.438,22,0,22,3,0.404,2,1,0,1,
"Miller, AJ",CSU Bakersfield,0.294,0.923,52,52,201,35,59,16,0,12,38,111,0.552,22,4,65,0,0.371,2,0,1,3,
"Saldivar, Eddie",Long Beach St.,0.293,0.754,52,50,188,27,55,9,2,1,25,71,0.378,16,9,39,1,0.376,0,2,8,14,
Dallas Duarte,Hawaii,0.293,0.78,40,39,147,30,43,10,0,2,26,59,0.401,9,12,16,4,0.379,1,6,7,13,
Cole Cabrera,Hawaii,0.292,0.816,52,52,192,40,56,10,0,4,34,78,0.406,32,10,40,2,0.41,5,2,14,17,
Stone Miyao,Hawaii,0.292,0.776,48,44,168,31,49,8,1,3,35,68,0.405,21,2,37,5,0.371,3,2,3,5,
"Morrissey, Jashia",CSU Bakersfield,0.292,0.834,48,47,168,32,49,13,3,3,20,77,0.458,22,2,37,3,0.376,2,1,3,7,
"Moody, Kai",CSUN,0.292,0.825,53,53,212,46,62,13,3,5,33,96,0.453,28,0,16,3,0.372,2,2,8,11,
"Villegas, Collin",Cal Poly,0.29,0.903,56,50,183,36,53,20,2,4,40,89,0.486,38,4,39,7,0.417,3,1,0,1,
"FitzGerald, B.",UC San Diego,0.289,0.88,40,37,128,19,37,7,1,5,23,61,0.477,20,5,28,3,0.403,1,0,1,1,
"Johnson, Kyle",UC Santa Barbara,0.285,0.885,58,57,207,41,59,15,0,7,40,95,0.459,42,11,47,2,0.426,3,0,0,1,
"Sprinkle, Jordan",UC Santa Barbara,0.285,0.797,56,56,214,44,61,11,4,3,35,89,0.416,31,6,46,3,0.381,6,1,25,34,
"Murillo, Sebastian",Long Beach St.,0.283,0.723,53,50,180,37,51,7,1,0,18,60,0.333,28,4,51,3,0.39,1,5,2,3,
"Filia, Marc",UC San Diego,0.283,0.907,53,50,187,35,53,9,1,10,41,94,0.503,25,15,54,2,0.404,3,0,4,7,
"McNally, Ryan",UC San Diego,0.282,0.784,47,36,124,22,35,8,1,2,21,51,0.411,11,7,40,0,0.373,0,4,6,7,
"Casillas, Aaron",CSU Bakersfield,0.28,0.695,49,49,193,21,54,14,0,1,28,71,0.368,9,5,26,5,0.327,1,8,1,4,
"Torres, Justin",UC Irvine,0.28,0.88,54,54,200,37,56,16,3,7,36,99,0.495,26,10,59,2,0.385,3,0,5,8,
"Bohning, Brandon",CSUN,0.272,0.678,50,48,173,23,47,7,1,1,23,59,0.341,11,7,20,3,0.337,2,2,4,7,
"Fitzgerald, Ben",UC Irvine,0.271,0.873,46,43,170,34,46,10,3,7,29,83,0.488,26,7,56,1,0.385,2,3,3,5,
"Gleed, Dub",UC Irvine,0.271,0.754,49,45,181,34,49,12,2,2,38,71,0.392,14,13,37,3,0.362,2,1,2,2,
"Halbach, Matt",UC San Diego,0.27,0.769,51,33,148,29,40,6,3,4,25,64,0.432,13,3,38,4,0.337,2,0,1,2,
"Doss, Reagan",Cal Poly,0.27,0.693,58,56,178,31,48,9,1,1,25,62,0.348,16,6,60,0,0.345,3,4,0,2,
"Schulze, Peyton",Long Beach St.,0.268,0.717,46,41,157,20,42,10,1,2,20,60,0.382,16,1,30,3,0.335,2,2,4,5,
Jacob Igawa,Hawaii,0.267,0.823,48,47,176,30,47,13,0,7,35,81,0.46,15,12,49,4,0.363,1,1,5,6,
"Hadeen, Woody",UC Irvine,0.267,0.787,49,49,176,38,47,7,3,1,17,63,0.358,31,19,34,0,0.429,0,9,13,14,
"Fuhrman, Michael",UC San Diego,0.266,0.834,46,41,169,29,45,12,2,6,27,79,0.467,22,6,49,0,0.367,2,1,3,5,
"Navyac, J.T.",Cal State Fullerton,0.266,0.671,49,40,128,19,34,2,3,0,8,42,0.328,10,5,27,2,0.343,0,4,6,6,
"Haas, Matthias",Cal Poly,0.265,0.722,42,30,113,21,30,3,1,3,17,44,0.389,9,3,29,3,0.333,1,0,0,0,
"Leehey, Nick",UC Davis,0.265,0.767,40,40,155,25,41,10,0,5,29,66,0.426,16,3,43,2,0.341,2,0,1,1,
"Smith, Austin",UC San Diego,0.261,0.748,53,51,176,29,46,9,0,4,30,67,0.381,26,4,31,4,0.367,1,4,0,1,
"Saldivar, Angel",CSU Bakersfield,0.259,0.646,35,30,116,14,30,2,0,1,16,35,0.302,8,7,16,5,0.344,0,0,0,0,
"Bobo, Brendan",Cal State Fullerton,0.258,0.854,39,35,132,20,34,7,1,8,35,67,0.508,13,6,52,3,0.346,2,0,2,3,
"Sudyka, Noah",UC San Diego,0.254,0.86,40,38,114,20,29,5,1,6,23,54,0.474,24,1,40,4,0.386,1,6,2,4,
"Peng, Nathan",UC Davis,0.254,0.633,31,20,63,3,16,3,0,1,7,22,0.349,2,1,17,1,0.284,1,0,0,0,
"Haley, Jack",Cal State Fullerton,0.253,0.597,53,49,166,28,42,4,1,0,15,48,0.289,8,6,55,0,0.308,2,3,3,5,
"Willow, Jason",UC Santa Barbara,0.253,0.684,49,45,166,33,42,7,2,1,21,56,0.337,24,1,50,0,0.347,2,3,15,18,
"Gonzalez, Gabe",CSUN,0.25,0.943,46,42,140,22,35,6,0,11,39,74,0.529,21,19,50,3,0.414,1,0,0,1,
"Kramer, Joey",CSUN,0.25,0.775,51,50,172,28,43,14,1,5,27,74,0.43,16,10,34,4,0.345,2,0,1,4,
Garcia,"Pacheco, A.",0.25,0.652,39,33,116,14,29,2,0,0,11,31,0.267,17,9,27,2,0.385,1,6,0,0,
"Mortensen, Broc",UC Santa Barbara,0.249,0.888,57,52,201,44,50,5,0,16,53,103,0.512,25,16,60,2,0.376,0,1,6,9,
Jacob Badawi,UC Riverside,0.248,0.575,44,34,149,17,37,7,0,0,14,44,0.295,5,2,20,5,0.28,1,0,1,3,
Andrew Rivas,UC Riverside,0.248,0.671,47,35,141,18,35,4,2,2,21,49,0.348,13,3,35,2,0.323,1,0,0,0,
"Borgogno, Brett",Cal Poly,0.248,0.759,56,28,109,24,27,4,1,4,20,45,0.413,12,5,26,5,0.346,1,6,1,1,
"Le, Mason",CSUN,0.248,0.671,49,43,161,20,40,7,0,5,22,62,0.385,9,1,43,3,0.286,4,3,2,5,
"Henrickson, Jonah",UC Davis,0.248,0.702,41,41,157,20,39,8,0,4,16,59,0.376,9,9,55,1,0.326,0,0,3,5,
Dylan Orick,UC Riverside,0.247,0.724,53,52,194,23,48,16,2,3,32,77,0.397,21,3,51,2,0.327,2,0,3,5,
"Samuelson, Tate",Cal Poly,0.245,0.649,54,52,200,26,49,10,0,3,32,68,0.34,12,8,39,5,0.309,3,1,0,0,
"Allanson, Andrew",CSU Bakersfield,0.242,0.712,45,42,161,27,39,4,1,7,28,66,0.41,13,2,44,8,0.302,3,0,2,2,
Aaron Ujimori,Hawaii,0.237,0.626,49,47,186,29,44,6,1,1,24,55,0.296,17,9,43,4,0.33,0,8,2,7,
"Nankil, Nate",Cal State Fullerton,0.237,0.666,49,40,156,15,37,10,3,2,17,59,0.378,9,3,41,5,0.288,2,1,14,15,
Scotty Scott,Hawaii,0.235,0.683,46,41,136,27,32,3,0,1,10,38,0.279,31,9,25,2,0.404,2,8,5,9,
"McCaffrey, Thomas",UC Irvine,0.229,0.732,44,37,144,16,33,8,1,5,27,58,0.403,17,5,40,2,0.329,1,4,1,3,
"Mico, J.D.",UC Davis,0.229,0.588,37,34,140,20,32,6,0,0,9,38,0.271,16,3,32,2,0.317,2,1,2,2,
"Simons, Jakob",CSUN,0.227,0.716,37,24,97,15,22,5,3,0,14,33,0.34,11,14,31,1,0.376,3,2,6,8,
"Spillane, Luke",UC Irvine,0.226,0.617,50,41,146,20,33,5,2,0,25,42,0.288,18,6,41,1,0.329,3,4,6,9,
"Robinson, Crew",UC San Diego,0.223,0.648,42,36,139,21,31,4,0,4,15,47,0.338,13,5,40,1,0.31,1,0,2,3,
Anthony Mata,UC Riverside,0.223,0.607,48,47,166,21,37,5,2,1,15,49,0.295,18,4,34,1,0.312,1,2,10,16,
"Lagattuta, John",Cal Poly,0.222,0.674,54,44,158,24,35,5,1,5,25,57,0.361,22,0,53,0,0.313,2,2,0,3,
Anthony Mcfarland,UC Riverside,0.218,0.538,44,36,119,16,26,5,0,0,5,31,0.261,9,1,35,2,0.277,1,3,1,3,
"Nakawake, Taishi",UC Irvine,0.217,0.649,56,55,166,32,36,6,1,2,17,50,0.301,25,9,42,1,0.348,1,15,6,7,
"Lucchetti, Anthony",UC San Diego,0.216,0.696,39,23,102,17,22,5,0,4,18,39,0.382,10,5,26,0,0.314,1,1,0,0,
"Perez, Aaron",CSU Bakersfield,0.211,0.567,47,43,147,13,31,6,0,1,7,40,0.272,14,4,54,0,0.295,1,0,0,1,
"Urman, Cole",Cal State Fullerton,0.21,0.527,40,38,138,11,29,6,0,1,14,38,0.275,6,3,32,0,0.252,4,3,1,3,
"Salas, Nick",CSU Bakersfield,0.209,0.617,48,44,134,22,28,5,0,0,13,33,0.246,32,3,23,6,0.371,1,5,6,11,
"Sandoval, Raul",UC Davis,0.208,0.603,36,33,120,13,25,3,2,2,13,38,0.317,10,3,47,5,0.286,0,0,1,2,
"Rice, Evan",CSU Bakersfield,0.206,0.557,37,29,107,15,22,3,0,0,12,25,0.234,15,5,27,6,0.323,3,1,2,3,
"White, Tyler",Long Beach St.,0.205,0.55,38,20,78,12,16,2,0,0,5,18,0.231,9,4,20,0,0.319,0,2,4,4,
Joey Nicolai,UC Riverside,0.205,0.572,48,46,171,19,35,11,0,0,18,46,0.269,9,16,38,3,0.303,2,0,2,2,
"Brandel, Jake",UC Davis,0.196,0.456,29,26,97,9,19,2,0,0,7,21,0.216,5,1,16,2,0.24,1,0,1,2,
Nainoa Cardinez,Hawaii,0.189,0.645,35,21,74,10,14,3,0,3,11,26,0.351,4,7,34,0,0.294,0,0,0,1,
"Cruz, JJ",Cal State Fullerton,0.187,0.559,38,19,75,8,14,1,0,2,11,21,0.28,5,5,21,3,0.279,1,2,0,0,
Danny Carnazzo,UC Riverside,0.181,0.542,37,23,83,10,15,2,1,0,6,19,0.229,16,0,26,2,0.313,0,3,0,0,
"Arenado, Kyler",UC Davis,0.163,0.425,40,39,141,8,23,3,0,0,5,26,0.184,12,3,50,1,0.241,2,0,3,5,
"Burns, Connor",Long Beach St.,0.162,0.429,48,42,130,15,21,4,0,1,15,28,0.215,9,0,51,1,0.214,1,3,0,0,
"McGuire, Connor",UC Irvine,0.162,0.538,42,26,99,14,16,5,2,2,19,31,0.313,7,2,26,1,0.225,3,2,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
