Name,School,ERA,W,L,G,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,BF,BAA,WP,HBP,BK
"Lewis, Cory",UC Santa Barbara,3.57,9,1,16,16,0,0,0,88.33,61,40,35,42,107,11,3,8,327,0.187,7,1,0
"Gallegos, Elliot",UC Santa Barbara,6.1,1,0,12,0,0,0,1,10.33,11,7,7,7,15,4,0,0,39,0.282,6,2,0
"Ager, Matt",UC Santa Barbara,3.55,1,0,25,0,0,0,5,38,26,15,15,23,42,5,0,1,132,0.197,4,11,0
"Beer, Trevor",UC Santa Barbara,0,0,0,7,0,0,0,0,2.66,3,0,0,1,3,0,0,0,11,0.273,0,0,0
"Callahan, JD",UC Santa Barbara,4.33,2,3,9,8,0,0,0,35.33,40,33,17,20,32,10,1,4,146,0.274,4,7,0
"Gallagher, Ryan",UC Santa Barbara,3.25,8,0,16,15,0,0,0,83,90,37,30,28,67,23,2,5,326,0.276,6,3,0
"Gutierrez, Michael",UC Santa Barbara,3.19,10,1,16,15,0,0,0,87.33,80,38,31,38,86,17,0,4,313,0.256,8,8,3
"Hall, Clayton",UC Santa Barbara,4.66,1,0,11,0,0,0,0,9.66,6,5,5,8,8,0,1,0,31,0.194,2,2,0
"Harvey, Ryan",UC Santa Barbara,3.68,0,2,25,2,0,0,11,29.33,32,16,12,8,37,4,0,3,116,0.276,1,1,0
"Hattenbach, Hayden",UC Santa Barbara,4.16,1,0,21,1,0,0,0,21.66,15,10,10,9,25,2,0,5,78,0.192,1,6,0
"Huddlestun, Brady",UC Santa Barbara,5.07,0,1,11,0,0,0,1,5.33,3,5,3,7,8,1,0,0,17,0.176,2,0,1
"Rice, Michael",UC Santa Barbara,4.26,6,1,27,0,0,0,0,44.33,37,25,21,28,38,9,0,4,165,0.224,3,5,0
"Rons, Cooper",UC Santa Barbara,10.84,0,0,2,0,0,0,0,1.66,2,2,2,2,1,1,0,1,7,0.286,0,0,0
"Schrier, Alex",UC Santa Barbara,6.75,0,1,17,0,0,0,2,18.66,21,15,14,16,25,0,0,1,71,0.296,1,4,0
"Splaine, Michael",UC Santa Barbara,14.55,0,0,10,0,0,0,0,4.33,9,7,7,1,6,1,0,0,20,0.45,3,2,0
"Welch, Nick",UC Santa Barbara,4.67,4,4,20,1,0,0,0,27,21,16,14,18,37,6,0,1,96,0.219,7,3,1
