Name,School,AVG,G,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG,BB,HBP,SO,GDP,OBP,SF,SH,SB,SBA
"Shanks, Jacob",UC Riverside,0.294,34,32,119,10,35,9,0,1,18,47,0.395,8,6,23,2,0.366,1,0,3,6
"Badawi, Jacob",UC Riverside,0.248,44,34,149,17,37,7,0,0,14,44,0.295,5,2,20,5,0.280,1,0,1,3
"Rivas, Andrew",UC Riverside,0.248,47,35,141,18,35,4,2,2,21,49,0.348,13,3,35,2,0.323,1,0,0,0
"Pofek, Cole",UC Riverside,0.172,33,16,64,6,11,3,1,0,7,16,0.250,7,2,29,0,0.274,0,1,1,1
"Mata, Anthony",UC Riverside,0.223,48,47,166,21,37,5,2,1,15,49,0.295,18,4,34,1,0.312,1,2,10,16
"Orick, Dylan",UC Riverside,0.247,53,52,194,23,48,16,2,3,32,77,0.397,21,3,51,2,0.327,2,0,3,5
"Nicolai, Joey",UC Riverside,0.205,48,46,171,19,35,11,0,0,18,46,0.269,9,16,38,3,0.303,2,0,2,2
"Pearson, Marcellus",UC Riverside,0.224,27,19,58,4,13,0,1,0,9,15,0.259,4,1,17,0,0.281,1,0,0,0
"Melendrez, Andrez",UC Riverside,0.308,19,11,39,6,12,1,0,0,3,13,0.333,4,2,9,1,0.400,0,1,0,0
"Webb, Nate",UC Riverside,0.111,34,28,99,8,11,4,0,0,3,15,0.152,11,4,37,1,0.226,1,0,3,3
"Carnazzo, Danny",UC Riverside,0.181,37,23,83,10,15,2,1,0,6,19,0.229,16,0,26,2,0.313,0,3,0,0
"Frazier, Tyler",UC Riverside,0.000,14,13,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Ramirez, Sergio",UC Riverside,0.000,20,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Anderson, Kyle",UC Riverside,0.000,19,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Barker, Corbin",UC Riverside,0.000,18,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Barrios, Cruz",UC Riverside,0.000,15,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Bullard, Jesse",UC Riverside,0.000,2,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Gamez, Andrew",UC Riverside,0.273,22,20,66,13,18,3,0,0,2,21,0.318,7,4,8,1,0.372,1,3,7,10
"Grace, Mason",UC Riverside,0.328,22,18,58,2,19,3,0,0,6,22,0.379,2,3,13,2,0.381,0,0,0,0
"Jacobs, Zach",UC Riverside,0.000,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Juline, Tayl",UC Riverside,0.208,23,13,48,6,10,1,0,0,7,11,0.229,9,1,14,1,0.345,0,1,0,0
"Juline, Tuck",UC Riverside,0.000,19,9,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Lopez, Jayden",UC Riverside,0.167,18,6,24,2,4,1,0,0,2,5,0.208,1,1,10,0,0.231,0,0,1,1
"Magrisi, Joey",UC Riverside,0.000,18,4,1,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Mancinas, Alphonzo",UC Riverside,0.111,8,2,9,0,1,0,0,0,0,1,0.111,1,0,4,0,0.200,0,0,0,0
"Marrujo, Eric",UC Riverside,0.000,15,10,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Mcfarland, Anthony",UC Riverside,0.218,44,36,119,16,26,5,0,0,5,31,0.261,9,1,35,2,0.277,1,3,1,3
"Mcleod, Sean",UC Riverside,0.207,31,29,92,9,19,4,0,1,12,26,0.283,12,4,25,2,0.321,1,2,1,2
"Priddy, Jeremiah",UC Riverside,0.000,16,9,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Roldan, Aj",UC Riverside,0.000,12,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Stuart, Ely",UC Riverside,0.194,10,10,31,3,6,0,0,0,0,6,0.194,2,5,11,0,0.342,0,0,0,0
"Turner, Caleb",UC Riverside,0.000,20,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Glascoe, Luke",UC San Diego,0.268,31,15,56,13,15,3,0,0,4,18,0.321,14,3,17,0,0.432,1,2,2,3
"Smith, Jalen",UC San Diego,0.305,54,53,203,32,62,16,3,7,34,105,0.517,30,5,42,6,0.404,2,1,7,10
"Smith, Austin",UC San Diego,0.261,53,51,176,29,46,9,0,4,30,67,0.381,26,4,31,4,0.367,1,4,0,1
"Lucchetti, Anthony",UC San Diego,0.216,39,23,102,17,22,5,0,4,18,39,0.382,10,5,26,0,0.314,1,1,0,0
"Filia, Marc",UC San Diego,0.283,53,50,187,35,53,9,1,10,41,94,0.503,25,15,54,2,0.404,3,0,4,7
"FitzGerald, B.",UC San Diego,0.289,40,37,128,19,37,7,1,5,23,61,0.477,20,5,28,3,0.403,1,0,1,1
"Halbach, Matt",UC San Diego,0.270,51,33,148,29,40,6,3,4,25,64,0.432,13,3,38,4,0.337,2,0,1,2
"Fuhrman, Michael",UC San Diego,0.266,46,41,169,29,45,12,2,6,27,79,0.467,22,6,49,0,0.367,2,1,3,5
"Gonzalez, Emiliano",UC San Diego,0.312,50,45,157,19,49,13,0,1,18,65,0.414,23,2,30,9,0.404,1,0,0,2
"McNally, Ryan",UC San Diego,0.282,47,36,124,22,35,8,1,2,21,51,0.411,11,7,40,0,0.373,0,4,6,7
"Robinson, Crew",UC San Diego,0.223,42,36,139,21,31,4,0,4,15,47,0.338,13,5,40,1,0.310,1,0,2,3
"Sudyka, Noah",UC San Diego,0.254,40,38,114,20,29,5,1,6,23,54,0.474,24,1,40,4,0.386,1,6,2,4
