"Name","School","ERA","W","L","G","GS","CG","SHO","SV","IP","H","R","ER","BB","SO","X2B","X3B","HR","BF","BAA","WP","HBP","BK","IP_outs","FIP","SO_BB","ERA_plus","WHIP","H9","HR9","BB9","SO9","K_rate","BB_rate","K_BB_rate"
"Lewis, Cory","UC Santa Barbara",3.57,9,1,16,16,0,0,0,88.33,61,40,35,42,107,11,3,8,327,0.187,7,1,0,265,4.27,2.55,142,1.687,6.2,0.8,4.3,10.9,32.7,12.8,19.9
"Gallegos, Elliot","UC Santa Barbara",6.1,1,0,12,0,0,0,1,10.33,11,7,7,7,15,4,0,0,39,0.282,6,2,0,31,3.77,2.14,83,2.13,9.6,0,6.1,13.1,38.5,17.9,20.6
"Ager, Matt","UC Santa Barbara",3.55,1,0,25,0,0,0,5,38,26,15,15,23,42,5,0,1,132,0.197,4,11,0,114,4.87,1.83,143,1.711,6.2,0.2,5.4,9.9,31.8,17.4,14.4
"Beer, Trevor","UC Santa Barbara",0,0,0,7,0,0,0,0,2.66,3,0,0,1,3,0,0,0,11,0.273,0,0,0,8,2.93,3,Inf,1.498,10.1,0,3.4,10.1,27.3,9.1,18.2
"Callahan, JD","UC Santa Barbara",4.33,2,3,9,8,0,0,0,35.33,40,33,17,20,32,10,1,4,146,0.274,4,7,0,106,6.01,1.6,117,1.472,10.2,1,5.1,8.2,21.9,13.7,8.2
"Gallagher, Ryan","UC Santa Barbara",3.25,8,0,16,15,0,0,0,83,90,37,30,28,67,23,2,5,326,0.276,6,3,0,249,4.35,2.39,156,1.145,9.8,0.5,3,7.3,20.6,8.6,12
"Gutierrez, Michael","UC Santa Barbara",3.19,10,1,16,15,0,0,0,87.33,80,38,31,38,86,17,0,4,313,0.256,8,8,3,262,4.26,2.26,159,1.42,8.2,0.4,3.9,8.9,27.5,12.1,15.4
"Hall, Clayton","UC Santa Barbara",4.66,1,0,11,0,0,0,0,9.66,6,5,5,8,8,0,1,0,31,0.194,2,2,0,29,5.5,1,109,1.655,5.6,0,7.4,7.4,25.8,25.8,0
"Harvey, Ryan","UC Santa Barbara",3.68,0,2,25,2,0,0,11,29.33,32,16,12,8,37,4,0,3,116,0.276,1,1,0,88,3.78,4.62,138,1.534,9.8,0.9,2.5,11.4,31.9,6.9,25
"Hattenbach, Hayden","UC Santa Barbara",4.16,1,0,21,1,0,0,0,21.66,15,10,10,9,25,2,0,5,78,0.192,1,6,0,65,6.82,2.78,122,1.569,6.2,2.1,3.7,10.4,32.1,11.5,20.6
"Huddlestun, Brady","UC Santa Barbara",5.07,0,1,11,0,0,0,1,5.33,3,5,3,7,8,1,0,0,17,0.176,2,0,1,16,4.99,1.14,100,2.814,5.1,0,11.8,13.5,47.1,41.2,5.9
"Rice, Michael","UC Santa Barbara",4.26,6,1,27,0,0,0,0,44.33,37,25,21,28,38,9,0,4,165,0.224,3,5,0,133,5.75,1.36,119,1.489,7.5,0.8,5.7,7.7,23,17,6
"Rons, Cooper","UC Santa Barbara",10.84,0,0,2,0,0,0,0,1.66,2,2,2,2,1,1,0,1,7,0.286,0,0,0,5,14.24,0.5,47,1.796,10.8,5.4,10.8,5.4,14.3,28.6,-14.3
"Schrier, Alex","UC Santa Barbara",6.75,0,1,17,0,0,0,2,18.66,21,15,14,16,25,0,0,1,71,0.296,1,4,0,56,5.29,1.56,75,2.196,10.1,0.5,7.7,12.1,35.2,22.5,12.7
"Splaine, Michael","UC Santa Barbara",14.55,0,0,10,0,0,0,0,4.33,9,7,7,1,6,1,0,0,20,0.45,3,2,0,13,3.36,6,35,1.617,18.7,0,2.1,12.5,30,5,25
"Welch, Nick","UC Santa Barbara",4.67,4,4,20,1,0,0,0,27,21,16,14,18,37,6,0,1,96,0.219,7,3,1,81,4.13,2.06,109,2.037,7,0.3,6,12.3,38.5,18.8,19.7
"Whiting, Sam","UC Santa Barbara",5.25,1,0,20,0,0,0,0,12,6,7,7,10,16,2,0,1,38,0.158,1,4,0,36,5.97,1.6,97,2.167,4.5,0.8,7.5,12,42.1,26.3,15.8
"Weston, Travis","Cal Poly",3.91,7,3,16,15,2,2,0,94.33,106,44,41,15,76,19,1,12,383,0.277,3,5,0,283,4.73,5.07,130,0.965,10.1,1.1,1.4,7.3,19.8,3.9,15.9
"Tomlinson, Evan","Cal Poly",6.48,0,0,10,0,0,0,0,16.66,28,20,12,2,6,7,0,0,72,0.389,0,3,0,50,4.24,3,78,0.48,15.1,0,1.1,3.2,8.3,2.8,5.5
"True, Derek","Cal Poly",4.79,1,1,21,0,0,0,0,20.66,30,15,11,11,23,7,0,3,92,0.326,3,0,0,62,5.31,2.09,106,1.645,13.1,1.3,4.8,10,25,12,13
"Walter, Chase","Cal Poly",15.75,0,0,6,0,0,0,0,4,6,9,7,6,4,2,0,0,19,0.316,3,2,0,12,8.06,0.67,32,2.5,13.5,0,13.5,9,21.1,31.6,-10.5
"Nelson, Darren","Cal Poly",20.26,0,0,8,0,0,0,0,5.33,14,12,12,2,7,3,0,2,30,0.467,2,1,0,16,8,3.5,25,1.689,23.6,3.4,3.4,11.8,23.3,6.7,16.6
"Kirchner, Sebastian","Cal Poly",9,0,0,8,0,0,0,0,4,7,4,4,2,5,0,0,1,18,0.389,0,2,0,12,7.81,2.5,56,1.75,15.8,2.2,4.5,11.2,27.8,11.1,16.7
"Baytosh, Chris","Cal Poly",27.07,0,0,6,0,0,0,0,1.33,3,4,4,2,0,0,1,0,7,0.429,1,0,0,4,8.57,0,19,1.504,20.3,0,13.5,0,0,28.6,-28.6
"Brooks, Steven","Cal Poly",5.33,0,2,13,8,0,0,0,25.33,35,18,15,9,21,9,1,4,109,0.321,2,6,0,76,6.23,2.33,95,1.184,12.4,1.4,3.2,7.5,19.3,8.3,11
"Button, Zach","Cal Poly",4.82,8,1,22,0,0,0,0,37.33,39,22,20,14,40,10,0,3,146,0.267,4,7,2,112,4.65,2.86,105,1.447,9.4,0.7,3.4,9.6,27.4,9.6,17.8
"Buxton, Jake","Cal Poly",12.47,0,0,6,0,0,0,0,4.33,3,6,6,6,7,1,0,0,16,0.188,0,1,0,13,5.67,1.17,41,3.002,6.2,0,12.5,14.5,43.8,37.5,6.3
"Franks, Jason","Cal Poly",3.17,4,2,34,0,0,0,11,54,45,21,19,22,69,7,3,3,197,0.228,1,5,0,162,3.72,3.14,160,1.685,7.5,0.5,3.7,11.5,35,11.2,23.8
"Larkin, Noah","Cal Poly",4.4,2,3,16,4,0,0,1,28.66,31,19,14,10,18,10,1,0,114,0.272,1,2,0,86,4.06,1.8,115,0.977,9.7,0,3.1,5.7,15.8,8.8,7
